act_key,avg_presence,avg_people_cnt,avg_activity,max_activity,cnt,first_eventtime,lastStatus,부재,,,
5540301,0,0,0,0,0,,,부재,,,
5540302,0,0,0,0,0,,,부재,,,
5540303,0,0,0,0,0,,,부재,,,
5540304,0,0,0,0,0,,,부재,,,
5540305,0,0,0,0,0,,,부재,,,
5540306,0,0,0,0,0,,,부재,,,
5540307,0,0,0,0,0,,,부재,,,
5540308,0,0,0,0,0,,,부재,,,
5540309,0,0,0,0,0,,,부재,,,
5540310,0,0,0,0,0,,,부재,,,
5540311,0,0,0,0,0,,,부재,,,
5540312,0,0,0,0,0,,,부재,,,
5540313,0,0,0,0,0,,,부재,,,
5540314,0,0,0,0,0,,,부재,,,
5540315,0,0,0,0,0,,,부재,,,
5540316,0,0,0,0,0,,,부재,,,
5540317,0,0,0,0,0,,,부재,,,
5540318,0,0,0,0,0,,,부재,,,
5540319,0,0,0,0,0,,,부재,,,
5540320,0,0,0,0,0,,,부재,,,
5540321,0,0,0,0,0,,,부재,,,
5540322,0,0,0,0,0,,,부재,,,
5540323,0,0,0,0,0,,,부재,,,
5540324,0,0,0,0,0,,,부재,,,
5540325,0,0,0,0,0,,,부재,,,
5540326,0,0,0,0,0,,,부재,,,
5540327,0,0,0,0,0,,,부재,,,
5540328,0,0,0,0,0,,,부재,,,
5540329,0,0,0,0,0,,,부재,,,
5540330,0,0,0,0,0,,,부재,,,
5540331,0,0,0,0,0,,,부재,,,
5540332,0,0,0,0,0,,,부재,,,
5540333,0,2,0,0,0,,,재실,,,
5540334,0,0,0,0,0,,,부재,,,
5540335,0,0,0,0,0,,,부재,,,
5540336,0,0,0,0,0,,,부재,,,
5540337,0,0,0,0,0,,,부재,,,
5540338,0,0,0,0,0,,,부재,,,
5540339,0,0,0,0,0,,,부재,,,
5540340,0,0,0,0,0,,,부재,,,
5540341,0,0,0,0,0,,,부재,,,
5540342,0,0,0,0,0,,,부재,,,
5540343,0,0,0,0,0,,,부재,,,
5540344,0,0,0,0,0,,,부재,,,
5540345,0,0,0,0,0,,,부재,,,
5540346,0,0,0,0,0,,,부재,,,
5540347,0,0,0,0,0,,,부재,,,
5540348,0,0,0,0,0,,,부재,,,
5540349,0,0,0,0,0,,,부재,,,
5540350,0,0,0,0,0,,,부재,,,
5540351,0,0,0,0,0,,,부재,,,
5540352,0,0,0,0,0,,,부재,,,
5540353,0,0,0,0,0,,,부재,,,
5540354,0,0,0,0,0,,,부재,,,
5540355,0,0,0,0,0,,,부재,,,
5540356,0,0,0,0,0,,,부재,,,
5540357,0,0,0,0,0,,,부재,,,
5540358,0,0,0,0,0,,,부재,,,
5540359,0,0,0,0,0,,,부재,,,
5540360,0,0,0,0,0,,,부재,,,
5540361,0,0,0,0,0,,,부재,,,
5540362,0,0,0,0,0,,,부재,,,
5540363,0,0,0,0,0,,,부재,,,
5540364,0,0,0,0,0,,,부재,,,
5540365,0,0,0,0,0,,,부재,,,
5540366,0,0,0,0,0,,,부재,,,
5540367,0,0,0,0,0,,,부재,,,
5540368,0,0,0,0,0,,,부재,,,
5540369,0,0,0,0,0,,,부재,,,
5540370,0,0,0,0,0,,,부재,,,
5540371,0,0,0,0,0,,,부재,,,
5540372,0,0,0,0,0,,,부재,,,
5540373,0,0,0,0,0,,,부재,,,
5540374,0,0,0,0,0,,,부재,,,
5540375,0,0,0,0,0,,,부재,,,
5540376,0,0,0,0,0,,,부재,,,
